title,author,description,illustration
The Little Prince,Antoine de Saint-Exupéry,,
Les Misérables,Victor Hugo,,
The Stranger,Albert Camus,,
The Count of Monte Cristo,Alexandre Dumas,,
Madame Bovary,Gustave Flaubert,,
Candide,Voltaire,,
"Les Trois Mousquetaires | The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,,
Notre-Dame de Paris | The Hunchback of Notre-Dame,Victor Hugo,,
La Peste | The Plague,Albert Camus,,
Les Fleurs du Mal,Charles Baudelaire,,
The Red and the Black,Stendhal,,
Les Liaisons dangereuses,Pierre Choderlos de Laclos,,
The Phantom of the Opera,Gaston Leroux,,
Swann's Way,Marcel Proust,,
Père Goriot,Honoré de Balzac,,
Twenty Thousand Leagues Under the Sea,Jules Verne,,
Germinal,Émile Zola,,
Around the World in Eighty Days,Jules Verne,,
Nausea,Jean-Paul Sartre,,
Bel-Ami,Guy de Maupassant,,
The Fall,Albert Camus,,
Cyrano de Bergerac,Edmond Rostand,,
Journey to the End of the Night,Louis-Ferdinand Céline,,
L'Écume des jours,Boris Vian,,
The Second Sex,Simone de Beauvoir,,
Journey to the Center of the Earth,Jules Verne,,
Illuminations,Arthur Rimbaud,,
The Elegance of the Hedgehog,Muriel Barbery,,
La Dame aux Camélias,Alexandre Dumas (Fils),,
The Myth of Sisyphus and Other Essays,Albert Camus,,
Nana,Émile Zola,,
The Misanthrope,Molière,,
In Search of Lost Time,Marcel Proust,,
"The Lover (The Lover, #1)",Marguerite Duras,,
Bonjour tristesse,Françoise Sagan,,
Sentimental Education,Gustave Flaubert,,
The Charterhouse of Parma,Stendhal,,
Memoirs of Hadrian,Marguerite Yourcenar,,
L'Assommoir,Émile Zola,,
Gargantua and Pantagruel,François Rabelais,,
Eugénie Grandet,Honoré de Balzac,,
Tartuffe,Molière,,
"The Man in the Iron Mask (The D'Artagnan Romances, #3.4)",Alexandre Dumas,,
The Counterfeiters,André Gide,,
The Ladies' Paradise,Émile Zola,,
The Complete Essays,Michel de Montaigne,,
Suite Française,Irène Némirovsky,,
Le Grand Meaulnes,Alain-Fournier,,
Waiting for Godot,Samuel Beckett,,
Thérèse Raquin,Émile Zola,,
Vingt ans après | Twenty Years After,Alexandre Dumas,,
Papillon,Henri Charrière,,
The Elementary Particles,Michel Houellebecq,,
Une vie,Guy de Maupassant,,
Don Juan,Molière,,
Rhinoceros / The Chairs / The Lesson,Eugène Ionesco,,
Antigone,Jean Anouilh,,
Le Petit Nicolas,René Goscinny,,
No Exit and Three Other Plays,Jean-Paul Sartre,,
Jean de Florette & Manon of the Springs (Two Novels),Marcel Pagnol,,
The Mysterious Island,Jules Verne,,
Exercises in Style,Raymond Queneau,,
Lost Illusions,Honoré de Balzac,,
La Gloire de mon père,Marcel Pagnol,,
Le Malade imaginaire,Molière,,
The Man Who Laughs,Victor Hugo,,
La Bête humaine,Émile Zola,,
Jacques the Fatalist,Denis Diderot,,
Perrault's Fairy Tales,Charles Perrault,,
L'Avare,Molière,,
Life: A User's Manual,Georges Perec,,
The Social Contract,Jean-Jacques Rousseau,,
Cousin Bette,Honoré de Balzac,,
Selected Short Stories,Guy de Maupassant,,
Nadja,André Breton,,
Complete Works,Arthur Rimbaud,,
Manon Lescaut,Antoine François Prévost d'Exiles,,
Confessions,Jean-Jacques Rousseau,,
La Symphonie pastorale,André Gide,,
Les Rois maudits,Maurice Druon,,
The Immoralist,André Gide,,
Le Silence de la mer,Vercors,,
Against Nature,Joris-Karl Huysmans,,
The Princesse de Clèves,Madame de La Fayette,,
The Romance of Tristan and Iseult,Joseph Bédier,,
De Fabels van La Fontaine,Jean de La Fontaine,,
"Wind, Sand and Stars",Antoine de Saint-Exupéry,,
Pensées,Blaise Pascal,,
Phèdre,Jean Racine,,
Boule de Suif (21 contes),Guy de Maupassant,,
No Exit,Jean-Paul Sartre,,
"The Misanthrope, Tartuffe, and Other Plays",Molière,,
The Nun,Denis Diderot,,
Zazie in the Metro,Raymond Queneau,,
The Earth,Émile Zola,,
La Curée,Émile Zola,,
Persian Letters,Montesquieu,,
L'École des Femmes,Molière,,
Bouvard and Pecuchet,Gustave Flaubert,,
"Asterix the Gaul (Asterix, #1)",René Goscinny,,
